outcome	model	eth5	estimate	p	min95	max95	idstr4	num	adjusted
"onsdeath"	"crude"	"White"	1		1	1	""	176	"Crude"
"onsdeath"	"crude"	"South Asian"	.40677669	0	.39031782	.42392959	""	177	"Crude"
"onsdeath"	"crude"	"Black"	.46008775	7.59e-116	.43048389	.49172743	""	178	"Crude"
"onsdeath"	"crude"	"Mixed"	.25905559	5.27e-100	.22868201	.29346338	""	179	"Crude"
"onsdeath"	"crude"	"Other"	.23573047	3.95e-194	.21430452	.25929857	""	180	"Crude"
"onsdeath"	"model0"	"White"	1		1	1	""	181	"Age-sex"
"onsdeath"	"model0"	"South Asian"	.95518497	.03706572	.9148912	.99725335	""	182	"Age-sex"
"onsdeath"	"model0"	"Black"	1.027282	.43770891	.95977038	1.0995424	""	183	"Age-sex"
"onsdeath"	"model0"	"Mixed"	.90931025	.13663695	.80231379	1.0305757	""	184	"Age-sex"
"onsdeath"	"model0"	"Other"	.76330479	3.557e-08	.69340052	.84025638	""	185	"Age-sex"
"onsdeath"	"model1"	"White"	1		1	1	""	186	"Age-sex-IMD"
"onsdeath"	"model1"	"South Asian"	.85471661	1.249e-12	.81846705	.89257165	""	187	"Age-sex-IMD"
"onsdeath"	"model1"	"Black"	.88540144	.00049548	.82679228	.94816525	""	188	"Age-sex-IMD"
"onsdeath"	"model1"	"Mixed"	.84210636	.00726723	.74280342	.95468478	""	189	"Age-sex-IMD"
"onsdeath"	"model1"	"Other"	.7231432	4.173e-11	.65675743	.79623932	""	190	"Age-sex-IMD"
"onsdeath"	"model2"	"White"	1		1	1	""	191	"+ co-morbidities"
"onsdeath"	"model2"	"South Asian"	.8825338	3.155e-07	.84126399	.92582818	""	192	"+ co-morbidities"
"onsdeath"	"model2"	"Black"	.86505497	.00017488	.80198006	.93309067	""	193	"+ co-morbidities"
"onsdeath"	"model2"	"Mixed"	.87577996	.06168316	.76203051	1.006509	""	194	"+ co-morbidities"
"onsdeath"	"model2"	"Other"	.797876	.00003862	.71652911	.88845813	""	195	"+ co-morbidities"
"onsdeath"	"model3"	"White"	1		1	1	""	196	"+ household size"
"onsdeath"	"model3"	"South Asian"	.71903372	2.111e-39	.68449728	.75531271	""	197	"+ household size"
"onsdeath"	"model3"	"Black"	.84334318	.0000106	.7817672	.90976919	""	198	"+ household size"
"onsdeath"	"model3"	"Mixed"	.85101156	.02310403	.74043314	.97810407	""	199	"+ household size"
"onsdeath"	"model3"	"Other"	.74068856	4.580e-08	.66511671	.82484703	""	200	"+ household size"
"onscoviddeath"	"crude"	"White"	1		1	1	""	201	"Crude"
"onscoviddeath"	"crude"	"South Asian"	.77935963	4.822e-11	.72355606	.83946701	""	202	"Crude"
"onscoviddeath"	"crude"	"Black"	.94891927	.36844475	.84646102	1.0637794	""	203	"Crude"
"onscoviddeath"	"crude"	"Mixed"	.47603188	1.141e-10	.37986818	.59653945	""	204	"Crude"
"onscoviddeath"	"crude"	"Other"	.44130168	7.054e-21	.37191757	.52362993	""	205	"Crude"
"onscoviddeath"	"model0"	"White"	1		1	1	""	206	"Age-sex"
"onscoviddeath"	"model0"	"South Asian"	1.5605212	2.820e-28	1.4418452	1.6889653	""	207	"Age-sex"
"onscoviddeath"	"model0"	"Black"	1.7545888	1.261e-20	1.5587587	1.9750215	""	208	"Age-sex"
"onscoviddeath"	"model0"	"Mixed"	1.5120174	.00035912	1.2048563	1.8974848	""	209	"Age-sex"
"onscoviddeath"	"model0"	"Other"	1.2637682	.00810525	1.0626901	1.5028934	""	210	"Age-sex"
"onscoviddeath"	"model1"	"White"	1		1	1	""	211	"Age-sex-IMD"
"onscoviddeath"	"model1"	"South Asian"	1.3770744	3.567e-15	1.2715924	1.4913064	""	212	"Age-sex-IMD"
"onscoviddeath"	"model1"	"Black"	1.4910736	4.930e-11	1.3236241	1.6797068	""	213	"Age-sex-IMD"
"onscoviddeath"	"model1"	"Mixed"	1.3837835	.00507936	1.1025321	1.736781	""	214	"Age-sex-IMD"
"onscoviddeath"	"model1"	"Other"	1.1831033	.05823452	.99415458	1.4079636	""	215	"Age-sex-IMD"
"onscoviddeath"	"model2"	"White"	1		1	1	""	216	"+ co-morbidities"
"onscoviddeath"	"model2"	"South Asian"	1.294633	1.198e-08	1.1846368	1.4148426	""	217	"+ co-morbidities"
"onscoviddeath"	"model2"	"Black"	1.2923189	.00014968	1.1318797	1.4754998	""	218	"+ co-morbidities"
"onscoviddeath"	"model2"	"Mixed"	1.3544283	.01726776	1.0551073	1.738663	""	219	"+ co-morbidities"
"onscoviddeath"	"model2"	"Other"	1.2333495	.03528491	1.0145626	1.499317	""	220	"+ co-morbidities"
"onscoviddeath"	"model3"	"White"	1		1	1	""	221	"+ household size"
"onscoviddeath"	"model3"	"South Asian"	.97913134	.65517201	.892574	1.0740826	""	222	"+ household size"
"onscoviddeath"	"model3"	"Black"	1.2571073	.00074847	1.1005213	1.435973	""	223	"+ household size"
"onscoviddeath"	"model3"	"Mixed"	1.2977449	.04104285	1.0106613	1.6663762	""	224	"+ household size"
"onscoviddeath"	"model3"	"Other"	1.1030985	.32549919	.90712344	1.341412	""	225	"+ household size"
"ons"	"crude"	"White"	1		1	1	"eth5"	226	"Crude"
"ons"	"crude"	"South Asian"	.33221031	0	.31603998	.34920801	"eth5"	227	"Crude"
"ons"	"crude"	"Black"	.36226012	3.67e-130	.333745	.39321158	"eth5"	228	"Crude"
"ons"	"crude"	"Mixed"	.2156286	9.606e-90	.18564929	.25044908	"eth5"	229	"Crude"
"ons"	"crude"	"Other"	.19458578	9.07e-172	.17347642	.21826382	"eth5"	230	"Crude"
"ons"	"model0"	"White"	1		1	1	"eth5"	231	"Age-sex"
"ons"	"model0"	"South Asian"	.81122413	2.355e-15	.77029823	.85432441	"eth5"	232	"Age-sex"
"ons"	"model0"	"Black"	.84871891	.00011778	.78073844	.92261857	"eth5"	233	"Age-sex"
"ons"	"model0"	"Mixed"	.77597512	.00093255	.66776756	.90171704	"eth5"	234	"Age-sex"
"ons"	"model0"	"Other"	.65029685	2.961e-13	.57930587	.72998741	"eth5"	235	"Age-sex"
"ons"	"model1"	"White"	1		1	1	"eth5"	236	"Age-sex-IMD"
"ons"	"model1"	"South Asian"	.72783734	5.252e-33	.69093846	.76670678	"eth5"	237	"Age-sex-IMD"
"ons"	"model1"	"Black"	.73202771	3.889e-13	.672901	.7963498	"eth5"	238	"Age-sex-IMD"
"ons"	"model1"	"Mixed"	.71972759	.0000188	.61907139	.83674972	"eth5"	239	"Age-sex-IMD"
"ons"	"model1"	"Other"	.61804587	3.842e-16	.55045719	.69393352	"eth5"	240	"Age-sex-IMD"
"ons"	"model2"	"White"	1		1	1	"eth5"	241	"+ co-morbidities"
"ons"	"model2"	"South Asian"	.76840774	2.381e-19	.72553832	.81381016	"eth5"	242	"+ co-morbidities"
"ons"	"model2"	"Black"	.73782442	1.409e-10	.67237006	.80965069	"eth5"	243	"+ co-morbidities"
"ons"	"model2"	"Mixed"	.75493147	.00101937	.63835904	.89279151	"eth5"	244	"+ co-morbidities"
"ons"	"model2"	"Other"	.69080196	1.951e-08	.60714337	.78598791	"eth5"	245	"+ co-morbidities"
"ons"	"model3"	"White"	1		1	1	"eth5"	246	"+ household size"
