parm	label	estimate	stderr	dof	t	p	min95	max95	model	outcome	idstr4
"0b.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1	0	0					"model4"	"onsdeath"	"mi"
"1.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.6796484	.01427676	3.194e+08	61.011027	0	1.6518982	1.7078647	"model4"	"onsdeath"	"mi"
"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0	0					"model4"	"onsdeath"	"mi"
"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1.3832014	.01059147	2.538e+08	42.365343	0	1.3625975	1.4041169	"model4"	"onsdeath"	"mi"
"0b.dm_type"	"Diabetes Type"	1	0	0					"model4"	"onsdeath"	"mi"
"1.dm_type"	"Diabetes Type"	2.0346236	.07088369	5.306e+08	20.388544	2.114e-92	1.9003312	2.1784061	"model4"	"onsdeath"	"mi"
"2.dm_type"	"Diabetes Type"	1.3484689	.01674303	25932056	24.078766	4.19e-128	1.3160492	1.3816871	"model4"	"onsdeath"	"mi"
"3.dm_type"	"Diabetes Type"	.95567343	.01627908	8.785e+08	-2.661655	.00777575	.92429376	.98811844	"model4"	"onsdeath"	"mi"
"0b.cancer"	"Cancer"	1	0	0					"model4"	"onsdeath"	"mi"
"1.cancer"	"Cancer"	2.9889513	.02133358	1.780e+08	153.40461	0	2.9474293	3.0310581	"model4"	"onsdeath"	"mi"
"0b.chronic_liver_disease"	"Chronic liver disease"	1	0	0					"model4"	"onsdeath"	"mi"
"1.chronic_liver_disease"	"Chronic liver disease"	3.0002718	.05664113	1.068e+10	58.198123	0	2.891286	3.1133658	"model4"	"onsdeath"	"mi"
"0b.stroke"	"Stroke"	1	0	0					"model4"	"onsdeath"	"mi"
"1.stroke"	"Stroke"	1.4386577	.01396031	1.730e+10	37.481622	1.84e-307	1.4115546	1.4662813	"model4"	"onsdeath"	"mi"
"0b.dementia"	"Dementia"	1	0	0					"model4"	"onsdeath"	"mi"
"1.dementia"	"Dementia"	1.8295194	.03269281	1.049e+09	33.803368	1.76e-250	1.7665518	1.8947314	"model4"	"onsdeath"	"mi"
"0b.other_neuro"	"Neurological disease"	1	0	0					"model4"	"onsdeath"	"mi"
"1.other_neuro"	"Neurological disease"	2.0618487	.03227256	2.205e+10	46.229983	0	1.999556	2.126082	"model4"	"onsdeath"	"mi"
"0b.egfr60"	"CKD defined by egfr<60"	1	0	0					"model4"	"onsdeath"	"mi"
"1.egfr60"	"CKD defined by egfr<60"	1.2612134	.01006054	9.019e+08	29.093376	4.35e-186	1.2416484	1.2810866	"model4"	"onsdeath"	"mi"
"0b.esrf"	"end stage renal failure"	1	0	0					"model4"	"onsdeath"	"mi"
"1.esrf"	"end stage renal failure"	3.1479846	.09759912	6.501e+08	36.987939	1.79e-299	2.9623899	3.3452069	"model4"	"onsdeath"	"mi"
"0b.immunosuppressed"	"Immunosuppressed (perm or temp)"	1	0	0					"model4"	"onsdeath"	"mi"
"1.immunosuppressed"	"Immunosuppressed (perm or temp)"	1.4353506	.04207389	1.795e+08	12.329471	6.286e-35	1.3552114	1.5202288	"model4"	"onsdeath"	"mi"
"0b.ra_sle_psoriasis"	"Autoimmune disease"	1	0	0					"model4"	"onsdeath"	"mi"
